
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Введено в действие жилых домов, квадратный метр общей площади;357;1489;437;345;42,4;49;89;164;230;387;254;127;462;299;925;363;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;357;863;437;345;42,4;49;89;164;230;387;254;127;;299;925;363;;;;
Усть-Лэкчим;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;5;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;15;18;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;170;;53,9;79;71;74,9;;;121;;74;66;90;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;170;;53,9;79;71;74,9;;;121;;74;66;90;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Печора;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;260;185;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;3682;3625;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;77;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;2587;2181;893;469;1784;1201;581;299,4;596;1887,8;16349;6773;3880;753;2048;1435;681;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;860;496;893;469;625;291;581;299,4;596;144;1142;1515;1252;753;2048;1435;681;911;587;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;911;664;
Городское поселение;;;;;;;;;;;;;;;;;;;;
Городские поселения района Печора;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;143;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;3492;;;;;;;;;;;;;;;;;;
Печора;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;191;109;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;3111;3126;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;2141;1685;378;387,9;1538;910;356;232,4;;1887,8;16349;6773;3880;753;1873;1435;681;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;414;;378;387,9;379;;356;232,4;;144;1142;1515;1252;753;1873;1435;681;;;
Изъяю (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;5;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;93;84;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;243;120;72;;66;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;243;120;72;;66;;;;;;;;;;;;;;;
Кожва;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;16;23;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;181;172;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;149;;;43;;67;67;;;;;0;0;175;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;149;;;43;;67;67;;;;;0;0;175;;;;;
Путеец;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;3;6;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;144;110;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения района Печора;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;42;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;133;;;;;;;;;;;;;;;;;;
Берёзовка (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;12;8;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;8;0;;;;;;;;;;;;;;;;;;
Каджером;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;9;8;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;106;98;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;169;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;169;;;;;;;;;;;;;;
Кедровый Шор (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;203;;89;37,1;60;17;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;203;;89;37,1;60;17;;;;;;;;;;;;;;
Красный Яг (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;1;1;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;51;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;51;;;;;;;;;;;;;;
Озёрный;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;5;3;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;9;6;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;158;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;158;;;;;;;;;;;;;
Приуральское;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;2;2;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;38;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;38;;;;;;;;;;;;;;;;;
Соколово (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;227;316;;77;54;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;227;316;;77;54;;;;;;;;;;;;;;
Сыня (до 1 января 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;8;9;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;10;4;;;;;;;;;;;;;;;;;;
Чикшино;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;10;14;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;17;22;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;44;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;44;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Прилузский;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;171;36;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;723;857;;;;;;;;;;;;;;;;;;
Ввод жилья в многоквартирных жилых домах, квадратный метр общей площади;;;;;;;;;;;;;;;;;;;154;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;7053;5042;5480,8;5668,1;4339;5332;6159;3712;2710;5317;1615;3661;6615;7811;4537;6469;3144;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;7053;5042;4888,8;5230,1;3461;3918;5785;2362;1281;2551;1097;3661;6615;7811;4537;5365;3065;5416;7492;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;5936;7646;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения Прилузского района;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;36;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;857;;;;;;;;;;;;;;;;;;
Ваймес (до  1 января 2017г);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;1;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;7;6;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;414;122;100;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;414;80;100;;;;;;;;;;;;;;;;
Верхолузье (до 1 января 2017г);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;15;18;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;60;;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;60;;;;;;;;;;;;;;;;;;
Вухтым;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;41;43;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;372;68;210;251;167,2;;136;30;;;0;0;0;87;87;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;372;68;43;251;;;136;30;;;0;0;0;87;87;;;;;
Гурьевка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;14;14;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;179;176;;235,1;50;146;127;43;;190;;200;;218;217;302;245;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;179;176;;235,1;50;146;127;43;;190;;200;;218;217;302;245;;;
Занулье;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;81;;;;;401;;;1170;61;0;108;0;;30;30;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;81;;;;;401;;;;;;108;0;;30;30;;;
Летка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;21;6;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;256;250;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;2135;409;1558;813;657;504;1116;204;131;423;257;518;459;1965;968;758;568;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;2135;409;1558;813;657;504;916;204;131;423;257;518;459;1965;968;758;560;;;
Лойма;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;2;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;11;10;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;297;;38;81;;35;133;;;;;57;0;0;56;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;297;;;81;;35;133;;;;;57;0;0;56;;;;;
Мутница;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;11;11;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;298;;;;101;;;;;457;;;0;;59;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;298;;;;101;;;;;0;;;;;59;;;;
Ношуль;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;12;5;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;72;66;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;417;938;826;409;393;;305;300;35;61;;119;282;412;263;202;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;417;938;718;409;393;;305;300;35;61;;119;282;412;263;202;;;;
Объячево;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;129;17;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;211;351;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;2569;1947;1887;2251;2179;4485;3425;3425;752;3403;840;2410;412;4869;2500;2432;2230;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;2569;1947;1887;1813;2179;3071;3425;3425;752;1807;840;2410;412;4869;2500;2432;2230;;;
Прокопьевка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;1;;;;;;;;;;;;;;;;;;;
Слудка.;;;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;96;53;110;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;53;110;;;;;;;;;;;;;;;
Спаспоруб;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;4;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;31;30;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;830;477;;1218;;;384;79;78;70;0;357;;124;46;191;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;830;477;;1218;;;210;79;78;70;0;357;;124;46;191;;;;
Черёмуховка;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;1;4;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;30;26;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;162;174;401;144;;61;132;82;;;;;;91;72;66;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;162;174;401;144;;61;132;82;;;;;;91;72;66;;;;
Чёрныш (до 1 января 2021 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;3;1;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;11;19;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;208;113;;;;102;170;;0;;0;45;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;67;113;;;;;;;0;;0;45;;;;;;
Читаево (до 1 января 2017г);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;12;13;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;92;;134,8;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;92;;134,8;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;;
Муниципальный район Сосногорск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;119;83;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;1528;1353;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;7221;1305;7088;3847;3656;8501;928;;620,9;1317;2090;1748;3221;3337;2135;1505;2884;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;587;1305;1436;1248;847;1292;928;;620,9;1317;1219;1748;3221;3337;2135;1505;2884;3380;2262;
Жилые здания, жилые помещения в нежилых зданиях и жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;;;;;;;;;;;;;3380;2262;
Городское поселение;;;;;;;;;;;;;;;;;;;;
Городские поселения района Сосногорск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;57;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;1260;;;;;;;;;;;;;;;;;;
Сосногорск;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;86;38;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;794;713;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;7013;890;6099;2725;484;3576;;;620,9;1317;2090;1748;;3337;2135;1505;2754;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;380;890;447;860;484;402;;;620,9;1317;1219;1748;;3337;2135;1505;2754;;;
Войвож;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;0;1;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;216;189;;;;;;;;;;;;;;;;;;
Нижний Одес;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;11;18;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;411;358;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;3929;3929;;;;0;0;0;0;;;130;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;;;;;;;;;;0;0;0;0;;;130;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;;
Сельские поселения района Сосногорск (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;;26;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;;93;;;;;;;;;;;;;;;;;;
Верхнеижемский  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;34;33;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;228;155;;;;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;;228;155;;;;;;;;;;;;;;;;;
Ираёль  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;7;9;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;19;13;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;;;;;;106;;;;;;;;;;;;;;
Малая Пера  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;7;10;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;13;15;;;;;;;;;;;;;;;;;;
Поляна  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Число семей, получивших жилые помещения и улучшивших жилищные условия в отчетном году, единица;2;0;;;;;;;;;;;;;;;;;;
Число семей, состоящих на учете в качестве нуждающихся в жилых помещениях, на конец года, единица;6;6;;;;;;;;;;;;;;;;;;
Жилые здания;;;;;;;;;;;;;;;;;;;;
Введено в действие жилых домов, квадратный метр общей площади;164;;296;804;3106;428;;;;;;;;;;;;;;
Жилые дома, построенные населением;;;;;;;;;;;;;;;;;;;;
Введено в действие индивидуальных жилых домов, квадратный метр общей площади;164;;296;70;297;428;;;;;;;;;;;;;;
Усть-Ухта  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
