
значение показателя за год
;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
;;;;;;;;;;;;;;;;;;;
;1556;216;216;;;;;;;;;;;;;;;;
Верхнеижемский  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;260;260;260;;;;;;;;;;;;;;;;
Вис  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;11,4;11,4;11,4;;;;;;;;;;;;;;;;
Ираёль  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;148;148;148;;;;;;;;;;;;;;;;
Керки  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;42;42;42;;;;;;;;;;;;;;;;
Малая Пера  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;55;55;55;;;;;;;;;;;;;;;;
Поляна  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;90;90;90;;;;;;;;;;;;;;;;
Усть-Ухта  (до 1 янвря 2013 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;80;80;80;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;;
Муниципальный район Сыктывдинский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2978,3;2912,4;3357,92;;;;;;;;;;;;;;;;
Выльгорт;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;626;626;649;;;;;;;;;;;;;;;;
Зеленец;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;584;584;1007;;;;;;;;;;;;;;;;
Лэзым;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;70;78;84;;;;;;;;;;;;;;;;
Мандач;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;159;159;159;;;;;;;;;;;;;;;;
Нювчим;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;274;200;200;;;;;;;;;;;;;;;;
Озёл;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;34,8;34,9;34,9;;;;;;;;;;;;;;;;
Пажга;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;131,6;131,6;131,6;;;;;;;;;;;;;;;;
Палевицы;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;116,2;116,2;116,2;;;;;;;;;;;;;;;;
Слудка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;86,1;86,1;79,62;;;;;;;;;;;;;;;;
Часово;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;64,6;64,6;64,6;;;;;;;;;;;;;;;;
Шошка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;182;182;182;;;;;;;;;;;;;;;;
Ыб;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;230;230;230;;;;;;;;;;;;;;;;
Яснэг;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;420;420;420;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;;
Муниципальный район Сысольский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;643;643;640;;;;;;;;;;;;;;;;
Визинга;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;240;424,71;;;;;;;;;;;;;;;;
Визиндор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;18;18;;;;;;;;;;;;;;;;
Вотча;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;20;5;;;;;;;;;;;;;;;;
Гагшор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;10;6;;;;;;;;;;;;;;;;
Заозерье;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;23;10,1;;;;;;;;;;;;;;;;
Куниб;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;49;46;;;;;;;;;;;;;;;;
Куратово;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;60;58;;;;;;;;;;;;;;;;
Межадор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;19;84,5;;;;;;;;;;;;;;;;
Палауз;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;7;140;;;;;;;;;;;;;;;;
Пыёлдино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;18;110,1;;;;;;;;;;;;;;;;
Чухлэм;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;42;148;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;;
Муниципальный район Троицко-Печорский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;536;1598;1596;;;;;;;;;;;;;;;;
Троицко-Печорск;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;309;309;309;;;;;;;;;;;;;;;;
Приуральский;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;54;54;54;;;;;;;;;;;;;;;;
Знаменка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;12;12;12;;;;;;;;;;;;;;;;
Комсомольск-на-Печоре;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;23;23;23;;;;;;;;;;;;;;;;
Куръя;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;145;145;145;;;;;;;;;;;;;;;;
Митрофан-Дикост;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;16;16;16;;;;;;;;;;;;;;;;
Мылва;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;50;50;50;;;;;;;;;;;;;;;;
Нижняя Омра;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;264;264;264;;;;;;;;;;;;;;;;
Покча;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;33;33;33;;;;;;;;;;;;;;;;
Усть-Илыч;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;101;101;101;;;;;;;;;;;;;;;;
Якша;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;591;591;591;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;;
Муниципальный район Удорский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1318,7;695;791;;;;;;;;;;;;;;;;
Благоево;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;454;63;64;;;;;;;;;;;;;;;;
Междуреченск;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;64;64;64;;;;;;;;;;;;;;;;
Усогорск;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;503;168;168;;;;;;;;;;;;;;;;
Буткан;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;4;6;4;;;;;;;;;;;;;;;;
Важгорт;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;124;124;124;;;;;;;;;;;;;;;;
Вожский;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;76;76;;;;;;;;;;;;;;;;
Глотово;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;13;13;13;;;;;;;;;;;;;;;;
Ёдва;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;6;6;6;;;;;;;;;;;;;;;;
Ёртом (до 1 января 2018г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;5,7;4;5,7;;;;;;;;;;;;;;;;
Кослан;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;42;42;42;;;;;;;;;;;;;;;;
Большая Пучкома;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1;4;4;;;;;;;;;;;;;;;;
Большая Пысса;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;15;38;63;;;;;;;;;;;;;;;;
Чернутьево;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;27;27;19;;;;;;;;;;;;;;;;
Чим;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;21;21;21;;;;;;;;;;;;;;;;
Чупрово;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;39;39;39;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Вымский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2321,2;2321,2;2321,2;;;;;;;;;;;;;;;;
Микунь;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;111;111;111;;;;;;;;;;;;;;;;
Жешарт;;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;405;405;405;;;;;;;;;;;;;;;;
Айкино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;77;77;77;;;;;;;;;;;;;;;;
Вежайка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;30,9;30,9;30,9;;;;;;;;;;;;;;;;
Гам;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;27;27;27;;;;;;;;;;;;;;;;
Донаёль;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;106;106;106;;;;;;;;;;;;;;;;
Илья-Шор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;277;277;277;;;;;;;;;;;;;;;;
Кожмудор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;881;881;881;;;;;;;;;;;;;;;;
Мадмас;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;287;287;287;;;;;;;;;;;;;;;;
Межег;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;36,3;36,3;36,3;;;;;;;;;;;;;;;;
Студенец;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;29;29;29;;;;;;;;;;;;;;;;
Усть-Вымь;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;54;54;54;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Куломский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;4919;4799;4799;;;;;;;;;;;;;;;;
Аныб (до 1 января 2018г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;72;72;72;;;;;;;;;;;;;;;;
Вольдино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;191;191;191;;;;;;;;;;;;;;;;
Нижний Воч;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;113;113;113;;;;;;;;;;;;;;;;
Диасёръя;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;117;117;117;;;;;;;;;;;;;;;;
Деревянск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;234;229;229;;;;;;;;;;;;;;;;
Дзёль (до 1 января 2020 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;27;27;27;;;;;;;;;;;;;;;;
Дон;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;126;126;126;;;;;;;;;;;;;;;;
Кебанъёль;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;268;268;268;;;;;;;;;;;;;;;;
Керчомъя;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;285;285;285;;;;;;;;;;;;;;;;
Кужба;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;190;188;188;;;;;;;;;;;;;;;;
Мыёлдино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;114;114;114;;;;;;;;;;;;;;;;
Носим (до 1 января 2018г);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;142;144;144;;;;;;;;;;;;;;;;
Крутоборка;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;466;319;319;;;;;;;;;;;;;;;;
Парч;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;20;36;36;;;;;;;;;;;;;;;;
Пожег;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;254;254;254;;;;;;;;;;;;;;;;
Помоздино;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;256;256;256;;;;;;;;;;;;;;;;
Зимстан;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;222;231;231;;;;;;;;;;;;;;;;
Руч;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;173;180;180;;;;;;;;;;;;;;;;
Тимшер;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;318;318;318;;;;;;;;;;;;;;;;
Усть-Кулом;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;281;284;284;;;;;;;;;;;;;;;;
Усть-Нем;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;139;136;136;;;;;;;;;;;;;;;;
Югыдъяг;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;911;911;911;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;;
Муниципальный район Усть-Цилемский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;458;160;160;;;;;;;;;;;;;;;;
Среднее Бугаево;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;11;5;5;;;;;;;;;;;;;;;;
Ёрмица;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;12;4;4;;;;;;;;;;;;;;;;
Коровий Ручей;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;56;35;35;;;;;;;;;;;;;;;;
Нерица;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;8;3;3;;;;;;;;;;;;;;;;
Новый Бор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;40;19;19;;;;;;;;;;;;;;;;
Окунев Нос;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;37;11;11;;;;;;;;;;;;;;;;
Замежная;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;48;7;7;;;;;;;;;;;;;;;;
Уег;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;13;6;6;;;;;;;;;;;;;;;;
Усть-Цильма;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;167;49;49;;;;;;;;;;;;;;;;
Хабариха;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;18;3;3;;;;;;;;;;;;;;;;
Трусово;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;48;18;18;;;;;;;;;;;;;;;;
Городские округа Республики Коми;;;;;;;;;;;;;;;;;;;
Сыктывкар;;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;16751;13898;9364;;;;;;;;;;;;;;;;
Воркута (до 1 января 2025 года);;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1565;1565;1565;;;;;;;;;;;;;;;;
Инта (до 1 января 2025 года);;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2308;2308;2308;;;;;;;;;;;;;;;;
Усинск (до 1 января 2024 года);;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;5363;5133;5133;;;;;;;;;;;;;;;;
Ухта (до 1 марта 2024 года);;;;;;;;;;;;;;;;;;;
Городской округ, городской округ с внутригородским делением;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2663;11216;11216;;;;;;;;;;;;;;;;
Общая протяженность освещенных частей улиц, проездов, набережных (на конец года), километр;;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Муниципальный район Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;66;49,7;49,7;49,7;49,7;49,7;;;;14,8;26,2;;;;;;;;
Вуктыл (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Городское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;26,2;26,2;26,2;26,2;26,2;26,2;;;;13,4;13,4;;;;;;;;
Дутово (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;32,3;18,2;18,2;18,2;18,2;18,2;;;;;;;;;;;;;
Лемтыбож (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;1,7;1,7;1,7;1,7;1,7;;;;1,4;1,4;;;;;;;;
Подчерье (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2,4;2,4;2,4;2,4;2,4;2,4;;;;;;;;;;;;;
Усть-Соплеск (до 1 января 2017 года);;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;5,1;1,2;1,2;1,2;1,2;1,2;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;
Муниципальный район Ижемский;;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;112;115;138,3;139,3;139,3;132,6;;;;169,85;170,8;170,9;179,9;171,1;180,1;181,7;183,5;194;
Брыкаланск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2;2;2;2;2;4,5;;;;4,5;4,5;4,5;4,5;4,5;4,5;5;5;5;
Ижма;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;25;25;25;25;25;21,8;;;;25;27,4;27,4;30;27,4;27,4;27,8;28,5;30,1;
Том;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;11;11;11;11;11;12,5;;;;15,72;16,3;16,3;16,3;16,3;16,3;16,3;16,3;16,3;
Кельчиюр;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;5;11,6;11,6;11,6;11,6;11,6;;;;;13;13;14,4;13;13;13;13;19,5;
Кипиево;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;1,5;7;7;7;7;1,5;;;;11,2;9;9;10;9;9,5;9,5;9,5;9,5;
Краснобор;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;2;12;12;12;12;11;;;;19,3;19,3;19,3;19,3;19,3;19,3;19,3;19,3;19,3;
Мохча;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;17;17;17;17;17;15,2;;;;;27,19;25,4;22,5;22,5;27,2;27,2;27,2;27,2;
Няшабож;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;10;10;10;10;10;10;;;;3;4;4;4;4;4;4;4;5,5;
Сизябск;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;4,1;4,1;6;7;7;8;;;;11,7;11,7;11,7;20,4;11,7;20,4;20,4;21,3;22,3;
Щельяюр;;;;;;;;;;;;;;;;;;;
Сельское поселение;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;34,4;15;36,7;36,7;36,7;36,5;;;;38,43;38,46;38,5;38,5;38,5;38,5;39,2;39,2;39,3;
Муниципальный район Княжпогостский;;;;;;;;;;;;;;;;;;;
Муниципальный район Княжпогостский (до 1 января 2025 года);;;;;;;;;;;;;;;;;;;
Муниципальный район;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
